Title,Keywords,Research_Goal,Research_Question,Hypotheses,Methodology,Findings_Summary,Future_Research_Suggestions,Organisation,Author,Supervisor,Study_Programme,Submission_date,Source_File
Performing Ecological Restoration: A multispecies ethnography of the Marker Wadden project,"ecological restoration, multispecies ethnography, Marker Wadden, biodiversity, nature conservation",to elucidate how human actors of the Marker Wadden project relate to lively other-than-human beings in their ecological restoration practices,How do the human actors of the Marker Wadden project relate to lively other-than-human beings in their ecological restoration practices?,not present,"The study employs a multispecies ethnography approach, utilizing participant observation, interviews, document analysis, and landscape observations over a year of fieldwork. It combines classical anthropological methods with multispecies methods.","The research found that different practices of ecological restoration performed by human actors afford care to other-than-humans in varied ways, revealing a complex interplay between design, management, and ecological dynamics.","['Further studies could explore the long-term ecological impacts of the Marker Wadden project.', 'Investigate the socio-political dynamics influencing ecological restoration practices.']","['Natuurmonumenten', 'Vista landscape architecture', 'KIMA (Knowledge and Innovation Marker Wadden)']",Nicolas Austin Legros,Else Vogel,"Research Master in Social Sciences, GSSS",08-2024,c11363397.pdf
Standing Out from the Crowd Through Employer Branding: The Key to Successfully Attract Talents of Generation Z,"employer branding, job advertisements, recruitment communication, instrumental-symbolic framework, signaling theory, organizational reputation, P-O fit, employer attractiveness, intention to apply",to investigate to what extent instrumental and symbolic EB elements influence employer attractiveness as perceived by potential employees of Generation Z,"To what extent do instrumental and symbolic EB elements in job advertisements influence employer attractiveness as perceived by potential employees of Generation Z, and what role does OR play in this context?","H1a: Communicating instrumental and symbolic EB elements in job advertisements leads to higher employer attractiveness than communicating only instrumental EB elements.; H1b: Communicating instrumental EB elements in job advertisements leads to higher employer attractiveness than communicating no EB elements.; H2: Organizations with a positive reputation are perceived as more attractive employers than organizations with a negative reputation.; H3a: Communicating instrumental and symbolic EB elements in job advertisements leads to higher employer attractiveness than communicating only instrumental EB elements, and this effect is stronger when OR is negative than when OR is positive.; H3b: Communicating instrumental EB elements in job advertisements leads to higher employer attractiveness than communicating no EB elements, and this effect is stronger when OR is negative than when OR is positive.; H4a: Communicating instrumental and symbolic EB elements in job advertisements leads to better perceived P-O fit than communicating only instrumental EB elements.; H4b: Communicating instrumental EB elements in job advertisements leads to better perceived P-O fit than communicating no EB elements.; H5: Organizations with a positive reputation lead to better perceived P-O fit than organizations with a negative reputation.; H6a: Communicating instrumental and symbolic EB elements in job advertisements leads to better perceived P-O fit than communicating only instrumental EB elements, and this effect is stronger when OR is negative than when OR is positive.; H6b: Communicating instrumental EB elements in job advertisements leads to better perceived P-O fit than communicating no EB elements, and this effect is stronger when OR is negative than when OR is positive.; H7: Perceived P-O fit is positively related to employer attractiveness.; H8: Perceived P-O fit mediates the relationship between EB and employer attractiveness.; H9: Employer attractiveness is positively related to intention to apply.","An online experiment was conducted involving 195 business and management students from Germany, using a 3 x 2 between-subjects factorial design to manipulate job advertisements with regards to EB elements and organizational reputation.","The study found that communicating instrumental and symbolic EB elements in job advertisements led to higher employer attractiveness than communicating only instrumental EB elements. Organizational reputation moderated the effect of EB elements on employer attractiveness, being significant for organizations with a negative reputation.","['Future research could replicate these findings in other contexts and populations, involving students from other areas of study or focusing on current employees rather than on students.', 'Investigate whether the effect of symbolic EB elements on perceived P-O fit depends on the type of symbolic EB elements used.', 'Examine to what extent instrumental and symbolic EB elements in job advertisements contribute to potential employees’ identification with an organization, and how this identification is related to employer attractiveness.', 'Investigate the effect of instrumental and symbolic EB elements on later indicators of recruitment success, such as the quality or turnover of the candidates who accepted the job offer.']",not present,Annika Eckert,Dr. Pernill van der Rijt,Master’s Programme Communication Science,06-2020,c2801700.pdf
Learning Corruption: Small-Scale Educational Corruption and Social Capital in Romania,"small-scale corruption, corruption, education, social capital, trust, Romania, democracy",to explore how small-scale educational corruption interacts with the social functions of education,"How do young Romanians experience small-scale educational corruption at the level of pre-university education, and how do they perceive it to be related to their social capital?",not present,"This research is a qualitative study using semi-structured, in-depth interviews with young Romanians aged 17 to 24, conducted in January and February 2020. The data was analyzed using open and axial coding.","Young Romanians perceive small-scale educational corruption as pervasive, undermining universalism in education while also strengthening their beliefs in equality and social capital. Experiences with corruption led to decreased trust in peers and teachers but also motivated activism against such practices.","['Investigate the perceptions of teachers and other staff regarding educational corruption.', 'Conduct long-term empirical research on the implications of educational corruption for social capital.', 'Examine the types of small-scale educational corruption in different educational institutions.']",Romanian Academic Society,Alexandra Biris,"Dr. Rosanne Elisabeth Tromp, Dr. Nicky Pouw",International Development Studies,06-2020,c2869786.pdf
Het Gebruik van Tablets in het Basisonderwijs: Invloed op Betrokkenheid en Rekenprestaties van Leerlingen en Feedback van Leerkrachten,"tablet, basisonderwijs, betrokkenheid, feedback",onderzoek naar het effect van het gebruik van tablets op de rekenprestaties en betrokkenheid van leerlingen in het basisonderwijs,"['Wat is het effect van het gebruik van tablets (Snappet) op de rekenprestaties?', 'Wat is het verband tussen het aantal uur dat leerlingen op tablets (Snappet) werken en hun betrokkenheid?', 'In hoeverre hangt de feedback van leerkrachten op het werken met tablets (Snappet) samen met de betrokkenheid van leerlingen?']",Het gebruik van tablets heeft een positief effect op de rekenprestaties.; Het aantal uur dat leerlingen op tablets werken heeft een positief verband met de betrokkenheid van leerlingen.; Feedback van leerkrachten bevordert de betrokkenheid en daarmee de prestaties van leerlingen.,"Het onderzoek bestond uit drie studies: Studie 1 vergeleek Cito-scores van 186 leerlingen voor en na het gebruik van tablets. Studie 2 omvatte een enquête onder 29 leerlingen over hun betrokkenheid. Studie 3 betrof een enquête onder 6 leerkrachten over hun feedback. Data-analyse werd uitgevoerd met IBM SPSS Statistics 25, inclusief paired samples t-test en Pearson's correlaties.","De rekenprestaties op de nameting waren significant hoger dan op de voormeting. Er werd geen significant verband gevonden tussen het aantal uur op tablets en betrokkenheid, noch tussen feedback van leerkrachten en betrokkenheid.","['Vervolgonderzoek met een grotere steekproef is aanbevolen.', 'Onderzoek naar welke groepen leerlingen het meest profiteren van het gebruik van tablets.', 'Onderzoek naar de effectiviteit van tablets op andere vakken zoals taal of spelling.']",not present,Maud Koopmans,"['Dr. D.L. Roorda', 'Prof. dr. P.F. De Jong']",Universitaire PABO van Amsterdam,06-2020,c2872216.pdf
Laugh yourself to college: The effect of humor on political knowledge through educational entertainment television programming,"Humor, Political Knowledge, Enjoyment, Education, Television",to investigate the effect of humor on political knowledge for Dutch young adults that is gained through educational entertainment media,What is the effect of humor on political knowledge that is gained for young adults through educational entertainment media?,"H1: Exposure to humorous content, compared to non-humorous content, has a positive effect on gaining political knowledge.; H2: Exposure to humorous content, compared to exposure to non-humorous content, has a positive effect on the enjoyment of this content.; H3: Enjoyment has a positive effect on political knowledge.; H4: Enjoyment functions as a mediator in the relationship between exposure to humorous content and political knowledge.; H5: The positive relationship between exposure to humor and enjoyment is stronger for men than for women.",An online experiment was conducted among 154 Dutch young adults using a 2x2 research design with exposure to humor (Yes/No) as an experimental factor and gender (Male/Female) as a quasi-experimental factor. Participants watched a video of 'Zondag met Lubach' and filled out a questionnaire related to the content and their enjoyment.,"The study found that exposure to humorous content did not have a significant effect on political knowledge, but perceived humor was a significant predictor of political knowledge. Enjoyment was also found to be a predictor of political knowledge.","['Future research should explore the effects of educational entertainment television programming in broader topics than only political knowledge.', 'Future research should include a more diverse sample in terms of education level.', 'Future research should investigate how the relationship between humor, enjoyment, and political knowledge may differ among different cultures.']",not present,Tijn Kremers,I. Rodríguez de Dios,Master’s Programme Communication Science,06-2020,c2898925.pdf
Legit or Counterfeit: An Extensive Analysis of the Effect of CSR Communication and Positioning on Corporate Legitimacy,"Perceived corporate legitimacy, Habermas’ validity claims, CSR communication, social media, CSR positioning, strategic CSR, B-corporations",To gain a nuanced understanding of the effects of CSR communication and positioning on corporate legitimacy and to deliver guidance to corporations on how to communicate (strategic) CSR.,To what extent does the use of strategic CSR positioning moderate the effect of online CSR communication on consumer’s perception of corporate legitimacy?,"H1: Communication of a corporation’s CSR initiatives influences consumer’s perception of corporate legitimacy.; H2: A higher degree of communicated CSR commitment leads to more criticism, and thus a worse perception of corporate legitimacy.; H2a: Strategic CSR moderates the effect of communicated CSR commitment on perceived corporate legitimacy, such that this negative effect becomes weaker.; H3: A higher degree of communicated CSR impact leads to a better perception of corporate legitimacy.; H3a: Strategic CSR positively moderates the effect of communicated CSR impact on perceived corporate legitimacy.; H4: Communicated extrinsic CSR motives leads to a worse perception of corporate legitimacy.; H4a: Strategic CSR moderates the effect of communicated extrinsic CSR motives on perceived corporate legitimacy, such that this negative effect becomes weaker.; H5: A higher degree of communicated CSR fit leads to a better perception of corporate legitimacy.; H5a: Strategic CSR positively moderates the effect of communicated CSR fit on perceived corporate legitimacy.","A quantitative content analysis rooted in Habermas’ Communicative Action Theory was conducted, analyzing comments on Instagram posts from four corporations over the past year (2019). A total of 20,737 comments from 877 posts were coded.","The findings propose that a strategic CSR positioning can positively moderate certain negative effects of CSR communication, but also reveal a 'Catch 22' of CSR communication.","['Conduct a time series analysis to see changes over time.', 'Analyze a broader spectrum of corporations.', 'Examine differences with other social media channels.', 'Conduct additional survey or experimental research to reinforce findings.', 'Investigate corporate responses to analyze how they maintain their legitimacy.']",not present,Eva Ooms,dhr. dr. J.M. (James) Slevin,"Corporate Communication Master, Graduate School of Communication",06-2020,c2901058.pdf
"All You Can Eat, Just Order the Meat","default effect, menu options, social norms, effort, meat consumption",to investigate whether offering a vegetarian menu by default could reduce meat consumption at organized dinners,"What is the effect of having non-vegetarian compared to vegetarian meals as the default menu option at organized dinners on meat consumption, and how can this effect be explained?","H1: In the context of an organized dinner, the default menu option will be chosen significantly more often than the alternative menu option, regardless of whether the default menu is vegetarian or non-vegetarian.; H2: The effect of the default menu option described in H1 is stronger when effort of switching to the alternative option is high compared to low.; H3: The effect of the default menu option on food choice is partially mediated by perceived social norms.","An online experiment with over 20,000 participants using a 2 (default: meat vs. vegetarian) by 2 (effort: high vs. low) full-factorial between-subjects design. Participants were randomly assigned to one of four conditions and asked to choose between default and alternative menu options.","The study found that presenting a vegetarian default menu increased vegetarian choice from 21% to 52%. The default effect was confirmed, but contrary to expectations, higher effort to switch to the alternative option slightly increased the likelihood of choosing it.","['Further research is needed to investigate the long-term influence of default menu options on social norms.', 'More ecologically valid research is required to quantify the size of the effect of vegetarian default menus.']",not present,Eva Koffeman,Dr. Christin Scholz,MSc Communication Science,06-2020,c2904254.pdf
Online overtuiging in een gezondheidscontext: Een kwantitatieve inhoudsanalyse naar het gebruik van persuasieve strategieën in Nederlandse online gezondheidsboodschappen,"persuasieve strategieën, online gezondheidsboodschappen, inhoudsanalyse, argumentatie, framing, sociale normen, angst, narratieven",Om te achterhalen in hoeverre persuasieve strategieën voorkomen in Nederlandse online gezondheidsboodschappen en in hoeverre strategiegebruik verschilt tussen bronnen.,In hoeverre worden persuasieve strategieën gebruikt in Nederlandse online gezondheidsboodschappen en in hoeverre verschilt dat tussen bronnen?,not present,"Kwantitatieve inhoudsanalyse van 128 online gezondheidsboodschappen, waarbij strategiegebruik, bronkenmerken, kwaliteitskenmerken en enkele basiskenmerken zijn geanalyseerd.","De studie toont aan dat persuasieve strategieën verschillen in de mate waarin ze voorkomen en tactisch worden ingezet. Argumentatie is het meest aangetroffen, gevolgd door framing, sociale normen, angst en narratieven. Er zijn significante verschillen in strategiegebruik tussen bronnen op basis van platform, auteur en motief.","['Vervolgonderzoek naar de overtuigingskracht van online gezondheidsboodschappen die strategieën combineren, in specifiek het gezamenlijk voorkomen van zowel argumentatie en framing als angst en framing.', 'Onderzoek naar de invloed van de omvang van narratieven en de verhouding van narratieve- en non-narratieve bewijsvoering op de overtuigingskracht van online gezondheidsboodschappen.']",not present,Jasmijn Wolffram,Dr. S. (Sanne) Schinkel,Master Persuasive Communication,06-2020,c2904458.pdf
Mind Over Matter: the Social Representations of Placebos and Their Effects,"placebo effect, public perceptions, social representation theory, qualitative text analysis, structural topic modelling",to investigate public perceptions of placebos and their effects,What are the social representations of placebos and how might they shape the application of placebos in medical practice?,not present,The study employed qualitative text analysis methods combined with structural topic modelling to examine social representations of placebos in German news articles from 2007 to 2019.,"The study revealed that different, partly contradictory social representations of placebos coexist across various contexts. Although an outdated definition of a 'sham drug' prevailed, there was a fairly sophisticated understanding of the functional mechanisms underlying the placebo effect.","['Investigate the consequences of the social representations of placebos and how they translate into medical practice.', 'Conduct participatory observation, interviews, and focus group discussions with patients to understand the relevance of identified social representations.']",not present,Lea Lösch,"Dr. Gerben Moerman, Dr. Patrick Brown",Research Master Social Science,07-2020,c2933288.pdf
Spelling of Children in Grade 4: Explicit Rules or Implicit Cues?,"spelling, explicit rules, implicit cues, primary school, Dutch children",to gain more insight into children’s spelling and to investigate the extent to which Dutch typically developing children in Grade 4 use explicit rules and implicit cues in long and short vowel spelling,To what extent do Dutch typically developing children in Grade 4 use explicit rules and implicit cues in long and short vowel spelling?,"Children make spelling errors even after being taught the rule for multisyllabic long and short vowel words.; The earlier words are familiar in meaning, the better their vowels and consonants are spelled.; The more exposure to a word’s orthography, the better its vowels and consonants are spelled.; Vowels and consonants in morphologically consistent words are better spelled than vowels and consonants in morphologically inconsistent words.",The study used a dictation task to measure the spelling ability of 72 children in Grade 4. Multilevel logistic regression modeling was employed to analyze the accuracy of spelling bisyllabic long and short vowel words.,"Results showed that children did not make many spelling errors. Morphological consistency affected children’s spelling, but familiarity with a word’s orthography and meaning did not. Findings suggest that children in Grade 4 rely more on explicit rules when spelling long and short vowel bisyllabic words than on implicit cues.","['Include more difficult words to increase the variation in spelling.', 'Future research should explicitly ask children why they spell a word in a certain way when measuring spelling ability through a dictation task.', 'Investigate the use of implicit cues and explicit rules of children who do not speak Dutch at home.', 'Focus on the use of implicit cues and explicit rules in children with spelling difficulties.']",not present,Lotte Visser,"Madelon van den Boer, Elise de Bree",Research Master Child Development and Education,07-2019,c2934877.pdf
The influence of treatment dosage on effects of a spelling intervention for students with and without dyslexia: A moderated mediation model,"Spelling intervention, treatment dosage, dyslexia, verb inflection, visual-imprint words, moderated mediation",To investigate the effectiveness of a spelling intervention for verb inflection and visual imprint words and the influence of dosage variables.,Was the spelling intervention effective for Dutch eighth grade students? What elements of dosage mediate the effectiveness of practicing both verb inflection and visual imprint words? Do the same dosage variables contribute to effectiveness for students with dyslexia and typically developing students?,The intervention Muiswerk had a positive effect on the spelling scores on the posttest for both verb inflection and visual imprint words. All seven dosage variables examined in this study mediated the effect between the pre- and posttest.,"The study used a pretest-posttest-follow-up design with 153 eighth grade students participating in a computer-based spelling intervention called Muiswerk. A repeated measures ANOVA was conducted to evaluate the effectiveness of the intervention, and path analysis was used to assess the mediation effects of dosage variables.","The intervention was effective for visual imprint words but not for verb inflection. The percentage of completed exercises was associated with higher posttest scores for verb inflection, despite the intervention not being effective. No significant relations were found between dosage variables and the posttest for visual imprint words.","['It is important to measure the effect of dosage variables in a spelling intervention with a longer duration.', 'Future research could investigate the influence of dosage variables in a longer intervention.', 'It might also be interesting to extend the group of participants.']",not present,Joyce C. A. Standaert,"dr. M. van den Boer, dr. E.H. de Bree",Research Master Child Development and Education,07-2020,c2956777.pdf
"Exploring Siembra y Cosecha de Agua: Highland Rainwater Harvesting as a Solution to Aquifer Depletion in Ica, Peru",rainwater harvesting; groundwater governance; hydrosocial; policy process; Ica Valley; Peru,"to explore the ways that groundwater governance in the Ica Valley is being shaped by siembra y cosecha, through examining the policy process","how is the implementation of siembra y cosecha in the Ica highlands shaping groundwater governance in the Ica Valley, Peru?",not present,"qualitative approach using semi-structured in-depth interviews, observation, and document analysis; data collected from actors involved in groundwater governance and policy process in the Ica watershed",the research found that there is a gap between how the siembra y cosecha policy is presented and how it is actually being implemented; it shows a recognition of the interconnectedness of watersheds but lacks short-term tangible benefits,"['conduct more long-term, ethnographic research in the communities where siembra y cosecha projects are constructed', 'do a long-term evaluation of siembra y cosecha projects to assess their impact on the Ica-Villacurí aquifer', 'explore the impacts of the Coronavirus pandemic on rural communities and policies like siembra y cosecha']",not present,Francesca Nightingale,"M.A. Verzijl MSc, Cristian Olmos",MSc International Development Studies,08-2020,c3000231.pdf
"Politicizing urban governance to achieve housing affordability in Kigali, Rwanda",Affordable housing; Good Urban Governance; World-class city making; Integrated urban development; Rwanda,"To deconstruct the political and economic imperatives with which Affordable Housing Governance in Kigali, Rwanda is pursued and to outline how structural changes in the urban development structures of Kigali may contribute to more socially just cities.","Which visions and practices underlying Affordable Housing Governance in Kigali, the capital of Rwanda, contribute to socioeconomic and spatial exclusion and how can integrated and adaptive urban planning further social justice in the city?","Affordable Housing Governance is part of the government’s urban development and highlights the importance of depoliticized urban planning.; Affordable Housing Governance creates socio-cultural, economic and spatial exclusion.; Integrated and adaptive housing development can work towards a more socially just Kigali.","The study is based on qualitative data collected through 28 semi-structured interviews conducted in Kigali between January and March 2020, focusing on policymakers and city planners. The analysis is enriched with substitute interviews with developers, researchers, and architects, as well as policy and planning documents for triangulation.","The research finds that the Rwandan government integrates developmentalist and 'world-class' ambitions into its urban policies, leading to the exclusion of lower-income urbanites from affordable housing efforts. The governance approach often neglects the needs of most citizens, resulting in a disconnect between urban development goals and actual housing affordability.","[""Further research should focus on the role of the World Bank and 'experts' in shaping Kigali."", 'Impacts of the implementation of KMP2019 should be studied.', 'The relationship between housing in the post-conflict context and urban development needs further exploration.', 'Storytelling and scenario-analysis should be used to inform policymaking.']",not present,Charlotte Niedenhoff,"Dr. Yves Van Leynseele, Dr. Frederico Roman Ramos, Dr. Edward Kadozi",M.Sc. International Development Studies,08-2020,c3001394.pdf
Nacho favourite: de verschillenanalyse in een besluitvormingscontext,"verschillenanalyse, bedrijfseconomie, besluitvormingscontext, effectonderzoek","Het doel van dit educatief ontwerp is om leerlingen te leren hoe de verschillen tussen voor- en nacalculatie ontstaan, zodat de formules 'vanzelf' volgen.",Hoe kunnen leerlingen de verschillen tussen de begrote en de werkelijke nettowinst verklaren en berekenen?,not present,"Het onderzoek is empirisch van aard en omvat een lessenserie van vier lessen, waarin leerlingen zelf de verschillen leren begrijpen en berekenen in een contextrijke benadering. De methoden omvatten een startopdracht, simulatieopdracht en effectmetingen.","De meeste leerlingen vonden het een leuke manier om kennis te maken met de verschillenanalyse en ontwikkelden eigen heuristieken. Echter, enkele leerlingen misten structuur en de berekeningen voldeden niet aan de streefnorm.","['In de toekomst zal daarom meer structuur in de opdracht aangebracht moeten worden.', 'Bij vervolgonderzoek wordt aanbevolen om de effectmetingen uit te stellen tot na de laatste les, zodat vertekeningen in het resultaat worden beperkt.']",not present,T. van Middendorp MSc,"dr. Q.L. Elvira, dr. M.A. Booden","Interfacultaire Lerarenopleidingen, Universiteit van Amsterdam",01-2021,c3954156.pdf
"Measuring Mental Health Problems among Dutch Adolescents, a Validation Study of the Symptom Checklist-27 (SCL-27)","SCL-27, internal consistency, convergent validity, divergent validity","to examine internal consistency, convergent validity and the divergent validity of the SCL-27 in Dutch adolescents between the age of 16 and 24 years",not present,not present,"The study used a quantitative empirical methodology with a sample of Dutch adolescents aged 16 to 24 years. Data were collected through an online questionnaire, including the SCL-27, 4DKL, and Lie scale from the MMPI-2. Internal consistency was examined using Cronbach’s alpha, and convergent and divergent validity were assessed through correlational analyses.","The internal consistency and test-retest reliability of both the total score and the individual subscales were found to be sufficient to good. The SCL-27 demonstrated convergent validity with moderate to strong associations with the 4DKL, but only the agoraphobia scale showed divergent validity, indicating a tendency to underreport for other scales.","['Follow-up validation studies with a more diverse sample and a reliable scale to determine divergent validity is needed.', 'Follow-up research should also examine the validity and reliability of the SCL-27 in the clinical population.']",University of Amsterdam,S.R. Rommers,dhr. Prof. Dr. G.J.J.M. Stams & Dr. Levi van Dam,Forensic Child and Youth Care Sciences,04-2021,c4581501.pdf
De samenhang tussen de sociaal-emotionele ontwikkeling van basisschoolleerlingen en de mate waarop zij hun leerkracht beoordelen op het gebruik van Positive Behavior Support.,"sociaal-emotionele ontwikkeling, basisschoolleerlingen, Positive Behavior Support, gedragsproblemen, prosociaal gedrag",onderzoek naar de samenhang tussen de sociaal-emotionele ontwikkeling van de leerlingen en de mate waarop zij hun leerkracht beoordelen op het gebruik van PBS.,Wat is de relatie tussen sociaal-emotionele ontwikkeling van de leerlingen en de mate waarin zij hun leerkracht beoordelen op het gebruik van Positive Behavior Support?,Een hogere mate van PBS samenhangt met een mindere mate van agressie en uitdagend gedrag.; Leerlingen met leerkrachten die PBS-elementen inzetten laten een hogere sociaal-emotionele gezondheid zien.,"Empirisch onderzoek met een steekproef van 147 leerlingen uit groep 6, 7 en 8. De sociaal-emotionele ontwikkeling is gemeten met de Strengths and Difficulties Questionnaire (SDQ) en de mate van PBS met een zelfontwikkelde vragenlijst. Data-analyse omvat correlatietoetsen.",Er is een kleine negatieve samenhang gevonden tussen de totale probleemscore van de leerlingen en de mate waarop zij hun leerkracht beoordeeld hebben op het gebruik van PBS. De resultaten moeten voorzichtig geïnterpreteerd worden vanwege lage betrouwbaarheden.,"['Vervolg onderzoek kan zich meer richten op de causaliteit van de toename van PBS bij leerkrachten en de mate van Hyperactiviteit/aandachtstekort van de leerlingen.', 'Er zou meer onderzoek moeten worden gedaan naar de effecten van PBS op de sociaal-emotionele ontwikkeling van leerlingen.']",Basisschool De IJsbreker,Loes Essen,Dr. F. Hanna,Universitaire PABO van Amsterdam,06-2021,c4966309.pdf
ACCEPT&OR&REJECT?&URBAN&ENERGY&TRANSITION&STRUGGLES&IN&THE&NETHERLANDS&THE ROLE OF CITIZEN INITIATIVES AND PUBLIC PARTICIPATION,"urban energy transition, citizen initiatives, public participation, public acceptance, The Netherlands",to examine how citizen initiatives and public participation affect acceptance of the urban energy transition in The Netherlands,How is public participation facilitated by citizen initiatives and how does this contribute to the planning process and public acceptance of urban energy transition in the Netherlands?,not present,"comparative case study design in the context of qualitative research, using document analysis, semi-structured interviews, and an online survey","The study found that participation methods varied between the two neighborhoods, with Statenwarmte achieving a partnership model while Twekkelerveld was moving towards a more consultative approach. However, public acceptance was influenced by trust, values, and place-identity.","['Explore whether policy setting focusing on continuous improvement would make a considerable contribution to reaching the emission reduction goals.', 'Research the influence of social contact on acceptance of the energy transition in post COVID-19 public participation activities.']","['Duurzaam Den Haag', 'Buurtenergie Statenkwartier (BES)', 'Bewonersplatform Twekkelerveld (BEPT)', 'Zwik Energie Neutraal (Zwik EN)']",Noor Verberne,Dr. H.J.L.M. Verrest,MSc International Development Studies,06-2021,c4975916.pdf
The millennial CSR scepticism towards energy providers’ CSR communications about their efforts to climate change mitigation. An explorative study.,"millennial generation, CSR perceptions, CSR credibility, CSR scepticism",to uncover the millennial perception of energy providers’ CSR credibility regarding their efforts in climate change mitigation.,How do millennials perceive energy providers’ CSR credibility regarding their efforts to climate change mitigation?,not present,15 semi-structured individual interviews were conducted with millennials from different educational backgrounds and nationalities to explore their perceptions of energy providers and their CSR credibility.,"Millennials are suspicious about the CSR efforts of energy providers, perceiving those supplying renewable energy as credible, while those extracting fossil fuels as non-credible and profit-oriented.","['Quantitative research in the form of a survey could be conducted in the future to investigate whether findings from this research paper are generalizable to and representative of the whole millennial population.', 'This study could be conducted with more participants of a lower educational background since for this particular research the majority of participants followed higher education.', 'This research could be carried out with members of other generational cohorts.', 'Future research could aim at how millennials could perceive CSR communication of energy providers as more credible.']",not present,Johannes Mergelmeyer,Dr. Iina Hellsten,Master Thesis Corporate Communication,not present,c4998297.pdf
The role of selectivity exposure in information seeking about COVID-19 vaccination and adopting preventive behaviors,"COVID-19, coronavirus, search strategy, beliefs, intention, vaccination, health behavior, precautions, selective exposure, filter bubble",to research how the existing beliefs of people were reflected in their search strategies when seeking online information about COVID-19 vaccination and adopting preventive behaviors,"How are the existing beliefs of people reflected in their search strategies when seeking online information about the COVID-19 vaccine and precautions, and how is this related to their decision making about taking the vaccine?","H1: The belief someone has is congruent with the search strategy someone uses to seek information about the COVID-19 vaccination.; H2: There is a relationship between the beliefs someone has and the behavior he or she performs.; H2a: More particularly, there is a positive relation between the belief towards vaccination and getting vaccinated.; H2b: More particularly, there is a positive relation between the belief towards precautions and adhering to the precautions.; H3: The relation between beliefs and behavior is moderated by the search strategy someone uses.; H3a: More specifically, the effect of someone’s belief towards vaccination is stronger on their vaccination behavior if their search strategy is congruent with their belief towards vaccination.; H3b: More specifically, the effect of someone’s belief towards precautions is stronger on their behavior of adhering to the precautions if their search strategy is congruent with their belief towards precautions.",A representative sample of 230 Dutch people were surveyed using convenience and snowball sampling. Data collection commenced on April 22nd 2021 and ended on May 3rd 2021. Analysis of variance and chi-quadrate test were used to analyze the predictors of behavior to get vaccinated and to adhere to the precautions.,"The findings show that the search strategy a person uses to collect information online regarding the vaccine against COVID-19 is not of influence on the choice a person will make based on his or her beliefs. 79.4% of the participants reported that they will get vaccinated against COVID-19. Selective exposure is confirmed, yet does not necessarily influence the beliefs of individuals and therefore their intention to perform different behavior.","['Investigate the relationship between individuals existing beliefs, a search strategy contrary with those beliefs, and the outcome variable behavior.']",not present,Fee Kam,Dr. Annemiek Linn,Research Master’s program Communication Science,06-2021,c5011249.pdf
"De gevolgen van kindermishandeling op suïcidaal gedrag, een multi-level meta-analyse","kindermishandeling, kindermishandeling, verwaarlozing, suïcidaal gedrag, zelfmoord, zelfverwonding, correlatie, meta-analyse",Het doel van deze studie was om meer inzicht te verkrijgen in de sterkte van het verband tussen kindermishandeling en suïcidaal gedrag en te onderzoeken welke modererende factoren mogelijk invloed hebben op dit verband.,"Is er bij slachtoffers van kindermishandeling vaker sprake van suïcidaal gedrag dan bij niet-slachtoffers en hoe sterk is dit verband? Welke factoren zijn van invloed op de relatie tussen slachtofferschap van kindermishandeling en suïcidaal gedrag, zoals type kindermishandeling, vorm van suïcidaal gedrag, geslacht, leeftijd en etniciteit?",Er werd verwacht dat er bij slachtoffers van kindermishandeling vaker sprake was van suïcidaal gedrag dan bij niet-slachtoffers en dat dit een sterk verband zou zijn.; Verder werd verwacht dat seksueel misbruik de grootste impact heeft en dat bij deze slachtoffers vaker sprake is van suïcidaal gedrag dan bij slachtoffers van andere vormen van kindermishandeling.; Daarnaast werd verwacht dat het effect van slachtofferschap van kindermishandeling op suïcidaal gedrag ongeveer even groot was voor meisjes en voor jongens.; Ook werd verwacht dat het effect van slachtofferschap van kindermishandeling op suïcidaal gedrag groter was wanneer het kind op jongere leeftijd werd mishandeld.; Als laatste werd verwacht dat het effect van slachtofferschap van kindermishandeling op suïcidaal gedrag minder groot was wanneer het kind een niet-westerse afkomst had.,"Een drie-level meta-analyse werd uitgevoerd, waarbij gebruik werd gemaakt van zowel prospectieve als retrospectieve studies, en zowel longitudinale als cross-sectionele data. Inclusiecriteria omvatten studies die het verband tussen kindermishandeling en suïcidaal gedrag onderzochten en statistieken rapporteerden over dit verband.",Er werd een significant overall effect gevonden van kindermishandeling op suïcidaal gedrag (*r* = .22). Slachtoffers van kindermishandeling laten vaker suïcidaal gedrag zien dan niet-slachtoffers. De vorm van kindermishandeling en de vorm van suïcidaal gedrag bleken significante moderatoren te zijn.,"['Vervolgonderzoek zou kunnen kijken naar andere factoren die het verband tussen kindermishandeling en suïcidaal gedrag kunnen beïnvloeden.', 'Het is relevant om in vervolgonderzoek te onderzoeken welke hulp noodzakelijk is om de gevolgen van kindermishandeling zoveel mogelijk te beperken en daarmee het risico op suïcidaal gedrag te verminderen.', 'Er kan in vervolgonderzoek meer gekeken worden naar covariaten, om meer kennis te verkrijgen over factoren die van invloed zijn op het verband tussen kindermishandeling en de gevolgen daarvan.']",not present,E. M. M. (Eva) Brinkhuis,"dr. C. E. (Claudia) van der Put, dr. I. N. (Ivy) Defoe",Forensische Orthopedagogiek,07-2021,c5022202.pdf
